"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US19061000701","Census Tract 7.01, Dubuque County, Iowa","1212","158","1098","165","114","65",
"1400000US19061000702","Census Tract 7.02, Dubuque County, Iowa","1621","214","1504","204","117","81",
"1400000US19061000801","Census Tract 8.01, Dubuque County, Iowa","1685","142","1500","147","185","71",
"1400000US19061000802","Census Tract 8.02, Dubuque County, Iowa","1528","136","1442","142","86","63",
"1400000US19061000900","Census Tract 9, Dubuque County, Iowa","1440","139","1351","149","89","57",
"1400000US19061001101","Census Tract 11.01, Dubuque County, Iowa","1335","116","1306","126","29","44",
"1400000US19061001103","Census Tract 11.03, Dubuque County, Iowa","1002","184","950","195","52","82",
"1400000US19061001104","Census Tract 11.04, Dubuque County, Iowa","2067","210","1909","226","158","98",
"1400000US19061001201","Census Tract 12.01, Dubuque County, Iowa","1767","140","1612","146","155","75",
"1400000US19061001202","Census Tract 12.02, Dubuque County, Iowa","1121","121","1030","126","91","62",
"1400000US19061001204","Census Tract 12.04, Dubuque County, Iowa","1146","124","1133","123","13","19",
"1400000US19061001205","Census Tract 12.05, Dubuque County, Iowa","2034","239","1926","249","108","79",
"1400000US19061010101","Census Tract 101.01, Dubuque County, Iowa","1059","103","987","81","72","64",
"1400000US19061010103","Census Tract 101.03, Dubuque County, Iowa","1425","137","1399","150","26","41",
"1400000US19061010104","Census Tract 101.04, Dubuque County, Iowa","2002","205","1939","199","63","58",
"1400000US19061010105","Census Tract 101.05, Dubuque County, Iowa","1538","169","1397","154","141","89",
"1400000US19061010201","Census Tract 102.01, Dubuque County, Iowa","2341","215","2139","142","202","161",
"1400000US19061010202","Census Tract 102.02, Dubuque County, Iowa","1653","120","1601","131","52","50",
"1400000US19061010300","Census Tract 103, Dubuque County, Iowa","1239","135","1200","132","39","35",
"1400000US19061010400","Census Tract 104, Dubuque County, Iowa","1546","139","1481","148","65","47",
"1400000US19061010500","Census Tract 105, Dubuque County, Iowa","2063","158","2005","148","58","55",
"1400000US19061010600","Census Tract 106, Dubuque County, Iowa","1266","93","1145","97","121","56",
"1400000US19063070100","Census Tract 701, Emmet County, Iowa","992","87","864","88","128","37",
"1400000US19063070200","Census Tract 702, Emmet County, Iowa","949","77","717","75","232","64",
"1400000US19063070300","Census Tract 703, Emmet County, Iowa","1429","129","1211","131","218","108",
"1400000US19063070400","Census Tract 704, Emmet County, Iowa","1441","110","1231","143","210","92",
"1400000US19065080100","Census Tract 801, Fayette County, Iowa","1392","114","1198","116","194","80",
"1400000US19065080200","Census Tract 802, Fayette County, Iowa","1454","97","1262","97","192","62",
"1400000US19065080300","Census Tract 803, Fayette County, Iowa","1072","75","1000","80","72","40",
"1400000US19065080400","Census Tract 804, Fayette County, Iowa","1389","125","1182","130","207","99",
"1400000US19065080500","Census Tract 805, Fayette County, Iowa","1763","134","1409","124","354","125",
"1400000US19065080600","Census Tract 806, Fayette County, Iowa","1179","99","932","95","247","62",
"1400000US19065080700","Census Tract 807, Fayette County, Iowa","1357","106","1232","103","125","66",
"1400000US19067480100","Census Tract 4801, Floyd County, Iowa","1224","121","1133","124","91","60",
"1400000US19067480200","Census Tract 4802, Floyd County, Iowa","1241","90","1071","108","170","58",
"1400000US19067480300","Census Tract 4803, Floyd County, Iowa","1179","112","1074","102","105","40",
"1400000US19067480400","Census Tract 4804, Floyd County, Iowa","1609","142","1469","163","140","71",
"1400000US19067480500","Census Tract 4805, Floyd County, Iowa","2318","203","2152","213","166","132",
"1400000US19069360100","Census Tract 3601, Franklin County, Iowa","1500","133","1333","125","167","73",
"1400000US19069360200","Census Tract 3602, Franklin County, Iowa","2160","165","1835","121","325","149",
"1400000US19069360300","Census Tract 3603, Franklin County, Iowa","1186","127","1027","130","159","47",
"1400000US19071970100","Census Tract 9701, Fremont County, Iowa","1047","77","882","80","165","50",
"1400000US19071970200","Census Tract 9702, Fremont County, Iowa","1235","84","1071","84","164","63",
"1400000US19071970300","Census Tract 9703, Fremont County, Iowa","1162","79","999","93","163","50",
"1400000US19073080100","Census Tract 801, Greene County, Iowa","841","83","700","80","141","44",
"1400000US19073080200","Census Tract 802, Greene County, Iowa","1224","120","1122","127","102","64",
"1400000US19073080300","Census Tract 803, Greene County, Iowa","1551","139","1363","140","188","85",
"1400000US19073080500","Census Tract 805, Greene County, Iowa","930","94","852","97","78","35",
"1400000US19075960100","Census Tract 9601, Grundy County, Iowa","2052","107","1865","113","187","65",
"1400000US19075960200","Census Tract 9602, Grundy County, Iowa","1273","99","1198","87","75","37",
"1400000US19075960300","Census Tract 9603, Grundy County, Iowa","1250","79","1207","84","43","38",
"1400000US19075960400","Census Tract 9604, Grundy County, Iowa","1012","73","894","80","118","50",
"1400000US19077950100","Census Tract 9501, Guthrie County, Iowa","2513","155","1693","138","820","167",
"1400000US19077950200","Census Tract 9502, Guthrie County, Iowa","1098","113","933","121","165","46",
"1400000US19077950300","Census Tract 9503, Guthrie County, Iowa","2216","130","1852","116","364","108",
"1400000US19079960100","Census Tract 9601, Hamilton County, Iowa","850","88","721","74","129","65",
"1400000US19079960200","Census Tract 9602, Hamilton County, Iowa","1389","93","1247","88","142","52",
"1400000US19079960300","Census Tract 9603, Hamilton County, Iowa","1568","183","1216","146","352","152",
"1400000US19079960400","Census Tract 9604, Hamilton County, Iowa","2478","163","2136","197","342","149",
"1400000US19079960500","Census Tract 9605, Hamilton County, Iowa","914","76","802","71","112","40",
"1400000US19081270100","Census Tract 2701, Hancock County, Iowa","1756","126","1682","125","74","70",
